49
Haifa,506,99
Nazereth,566,123
Yafa,448,299
Tulkarm,514,221
Janin,568,184
Ramallah,548,319
Nablus,561,242
Bethlehem,549,368
Hebron,527,409
BeerSheeba,464,477
Qalqilya,506,252
Jericho,601,330
Rafah,351,471
Khan Yunis,360,457
Deir al-Balah,372,438
Gaza,393,414
Almajdal,415,378
Asdood,432,346
Ramla,477,312
Tal Alrabeea,459,278
Al Birah,559,319
Salfeet,558,256
Bisan,617,136
Tabria,603,102
Safad,591,67
Ako,524,79
Al-Khadera,479,201
Mulabas,479,267
Halhol,515,400
Tubas,590,201
Birzeit,558,299
Jerusalem,546,351
Alharam,465,257
Om Khalid,475,213
Lydda,476,290
Al falooja,458,391
Al-Daheriya,517,438
Om Alfahem,487,190
Qabatia,556,208
Beit shams,461,352
Yatta,528,429
Beit Jala,505,362
Afula,569,137
Bitonia,541,329
Issawiya,560,356
Eiqaba,590,183
Alhazeel,438,454
Dora,519,419
Alnserat,383,426
